,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE
36,31,-8,18,37.22,1.15,-3.85,600,1.1,3.0,300,2780
37,533,5,593,36.79,1.6,-1.6,2400,1.6,1.75,600,2800
38,32,-4,30,35.71,2.0,-2.9000000000000004,600,1.55,2.65,300,2820
39,103,19,205,30.5,1.25,-3.55,300,1.2,3.2,300,2840
40,61,-16,453,29.49,1.65,-3.65,300,1.05,2.45,300,2860
41,63,1,427,30.2,2.9,-3.85,300,2.2,3.0,300,2880
42,758,-60,2148,26.46,2.45,-6.3500000000000005,300,2.5,4.9,300,2900
43,162,1,922,26.65,4.0,-7.300000000000001,6000,2.1,5.3,300,2920
44,219,3,1476,27.77,7.0,-7.65,300,5.8,10.5,600,2940
45,133,-74,1080,27.23,9.6,-9.1,300,6.0,10.85,600,2960
46,162,-8,929,25.75,11.95,-12.600000000000001,6000,6.2,21.3,6000,2980
47,715,-165,4122,28.75,20.85,-10.2,300,15.05,20.0,600,3000
48,218,-45,1275,27.59,25.85,-13.449999999999996,300,20.0,45.0,300,3020
49,189,-18,1139,27.56,33.75,-14.049999999999997,300,25.05,34.7,300,3040
50,161,-14,639,25.54,40.0,-18.0,300,30.35,49.95,600,3060
51,126,-8,395,24.95,50.0,-20.700000000000003,600,43.1,72.65,600,3080
52,408,-44,771,19.9,55.35,-30.9,2100,53.15,72.5,300,3100
53,109,-18,99,23.97,75.2,-25.64999999999999,1500,57.7,127.4,300,3120
54,64,-1,34,11.58,80.8,-32.650000000000006,1800,74.75,136.45,300,3140
55,44,1,29,14.95,101.15,-27.900000000000006,1500,90.55,123.8,1500,3160
56,20,-2,10,31.09,131.0,-24.55000000000001,1500,108.4,180.25,600,3180
57,219,-12,57,0.0,121.85,-54.5,300,122.0,156.7,300,3200
58,4,0,0,0.0,101.0,0.0,1500,123.9,194.2,1500,3220
59,0,0,0,0.0,0.0,0.0,1500,138.05,209.4,1500,3240
60,0,0,0,0.0,0.0,0.0,1500,177.35,244.95,1500,3260
61,0,0,0,0.0,0.0,0.0,1500,147.55,250.15,1500,3280
62,77,5,8,0.0,226.65,-56.599999999999994,300,223.7,251.4,3000,3300
63,0,0,0,0.0,0.0,0.0,6900,176.05,319.15,1500,3320
64,0,0,0,0.0,0.0,0.0,1500,198.25,308.55,1500,3340
65,0,0,0,0.0,0.0,0.0,6900,215.4,355.3,1500,3360
66,0,0,0,0.0,0.0,0.0,1500,202.75,407.55,1500,3380
67,15,-1,1,42.55,341.4,-65.75,1500,316.2,366.6,1500,3400
68,0,0,0,0.0,0.0,0.0,6900,276.55,449.95,1500,3420
69,0,0,0,0.0,0.0,0.0,1500,289.2,436.3,1500,3440
70,0,0,0,0.0,0.0,0.0,6900,263.55,466.0,1500,3460
71,0,0,0,0.0,0.0,0.0,1500,327.5,478.85,1500,3480
72,0,0,0,0.0,0.0,0.0,1500,370.85,461.9,1500,3500
73,0,0,0,0.0,0.0,0.0,1500,365.4,520.15,6900,3520
74,0,0,0,0.0,0.0,0.0,1500,384.5,536.9,6900,3540
75,0,0,0,0.0,0.0,0.0,1500,403.7,567.5,6900,3560
76,0,0,0,0.0,0.0,0.0,6900,428.55,588.45,6900,3580
77,0,0,0,0.0,0.0,0.0,1500,444.6,633.4,6900,3600
78,0,0,0,0.0,0.0,0.0,6900,465.3,634.45,6900,3620
79,0,0,0,0.0,0.0,0.0,6900,488.45,683.2,1500,3640
80,0,0,0,0.0,0.0,0.0,1500,494.5,657.75,6900,3660
81,0,0,0,0.0,0.0,0.0,1500,511.45,678.15,1500,3680
82,0,0,0,0.0,0.0,0.0,6900,566.05,747.8,6900,3700
